,DM hlswan if smthing is wrong,,,,,,,MINECRAFT 1.16+ RSG ANY% SUB-10 LEADERBOARD,,,,,,,,,OVERWORLD,,,,,FIRST STRUCTURE,,,,,SECOND STRUCTURE,,,,BLAZE RATES,,,,S2-E1,ALL RODS?,NETHER EXITS,OVERWORLD II,,,,,,,,,,,THEOR BLIND,NETHER SPLIT,TOTAL NETHER,TOTAL OW2,POST BLIND,STRUC2 TO FINISH,STRUC2 EX TO SH,STRONGHOLD,,,FRAMES FILLED,THE END,,,,,,,,,,,,Bastion Information,,,,Barter/Chest Loot Information,,,,,,TIMELOSS
,last updated 2/17/26,,,,,WR,PB,,,,,,,,,,TYPE,,PORTAL,NETHER,NE-S1,ENTER,TYPE,SPLIT,EXIT,S1-S2,ENTER,TYPE,SPLIT,EXIT,,DROPPED,KILLED,DECIMAL,,,,EXIT 1,TYPE,TRIANG,THROWN,BREAK,LEFT,T LOSS,REENTER,TO 2ND,DIST,EXIT 2,,,,,,,,ENTER,STRAT,SPLIT,,ENTER,STRAT,X USED,ZERO XPLOSIVES,PERCH XPLOSIVES,CG,NODE,TH,TOWER,SH,SPLIT,CREDITS,TYPE,ROUTE,CC,INFO,Obi,String,Glowst,Arrows,Pearls,Cobi,
,9,8,🇳🇴,skycrab1,,,✔,7:16.474,7:16.560,02 Jan 2026,(Q),-8753882162041693203,,Yes,https://youtu.be/RLqLbCwTQWM?si=OdjKGudQYJtaeVd_,,BT,,2x1 Magma,1:47,0:16,2:03,Treasure,1:40,3:43,0:29,4:12,Fort,1:13,5:25,6/9,6,9,0.67,--,No,2,4:56,Calc,0:15,1,0,0,0,5:11,0:30,1066,5:55,5:10,3:09,4:08,1:14,2:04,3:02,0:30,5:55,Prempt,0:29,3,6:24,Zero,6,6,,O,F Diag,88,M88,99,0:50,7:14,Treasure,BOOMR,4,--,22,110,45,31,29,21,
,10,9,🇨🇦,NoHacsJustRoblox,,,✔,7:21.808,7:22.283,29 Apr 2024,(V),8722833245086318634,,Yes,https://www.speedrun.com/mc/runs/z58ewkez,,BT,,2x1 Magma,1:13,0:25,1:38,Bridge,1:40,3:18,0:24,3:42,Fort,0:59,4:41,6/9,6,9,0.67,0:02,Yes,2,4:39,Calc,0:14,1,0,1,1,4:53,0:41,1939,5:34,4:39,3:26,4:21,1:16,2:42,3:39,0:53,5:34,Prempt,0:21,1,5:55,F.PC,4,,4,B57,--,--,--,--,1:26,7:21,Bridge,OLD,3,--,24,49,35,0,,11,
,11,-,,🇳🇴,skycrab1,,✔,7:22.684,7:23.784,19 Apr 2024,(V),6338107534563615641,,Yes,https://www.speedrun.com/mc/runs/mew18n2m,,BT,,1x1 Magma,1:49,0:05,1:54,Housing,1:51,3:45,0:26,4:11,Fort,0:30,4:41,6/7,6,7,0.86,0:09,Yes,2,4:50,Calc,0:25,1,0,0,0,5:15,0:55,1439,6:10,4:50,3:01,4:21,1:38,2:32,3:11,1:29,6:10,Prempt,0:18,2,6:28,Zero,7,7,,O,F Diag,94,T94,99,0:54,7:22,Housing,MANJ,5,DT,21,57,56,0,,38,
,12,-,,🇨🇦,Aquacorde,,✔,7:24.170,7:24.170,16 Oct 2025,(V),-1813865513517318496,,Yes,https://www.speedrun.com/mc/runs/ydo6pewz,,BT,,2x1 Magma,1:16,0:38,1:54,Housing,1:43,3:37,0:39,4:16,Fort,1:25,5:41,6/8,6,8,0.75,--,No,2,5:11,Calc,0:22,2,0,0,0,5:33,0:34,867,6:15,5:19,3:55,4:59,1:17,2:05,3:08,0:34,6:15,Prempt,0:21,1,6:36,Zero,5,5,,H,F Diag,86,Tall Cage,99,0:48,7:24,Housing,TOPD,3,--,27,75,18,46,,26,
,13,10,🇸🇰,NoFear1337,,✔,✔,7:24.504,7:26.283,08 Dec 2023,(V),-8415980398606239765,12,Yes,https://www.speedrun.com/mc/run/m7308v9y,,BT,,RP,1:39,0:33,2:12,Treasure,1:50,4:02,0:19,4:21,Fort,0:34,4:55,5/6,5,6,0.83,0:06,Yes,2,5:01,HP,0:36,2,0,0,0,5:37,0:36,1489,6:13,5:01,3:22,4:34,1:28,2:23,3:03,1:18,6:13,Prempt,0:16,4,6:29,Zero,6,6,,O,F Diag,85,M85,95,0:55,7:24,Treasure,BOOMR,4,8/10,10,121,55,25,44,26,
,14,11,🇫🇮,AndrewCrow,,,✔,7:28.358,7:28.874,17 Feb 2026,(Q),todo,,,https://www.youtube.com/watch?v=RNTNMHEVNBo,,BT,,2x1 Magma,1:25,0:36,2:01,Bridge,1:53,3:54,0:13,4:07,Fort,0:52,4:59,6/7,6,7,0.86,0:09,Yes,2,5:08,Calc,0:30,1,0,0,0,5:38,0:44,1131,6:22,5:08,3:43,4:57,1:26,2:20,3:21,1:23,6:22,N/A,0:12,2,6:34,Zero,7,7,,O,F Diag,91,M91,99,0:54,7:28,Bridge,CRKSMK,3,--,29,94,36,26,32,27,
,15,-,,🇨🇦,Jay12310,,✔,7:28.256,7:29.121,02 Aug 2024,(V),-6421260664080147265,,Yes,https://www.speedrun.com/mc/runs/y8prdrxz,,BT,,2x1 Magma,1:48,0:28,2:16,Fort,0:37,2:53,0:20,3:13,Housing,1:55,5:08,5/6,5,6,0.83,--,No,2,4:23,Calc,0:17,1,0,0,0,4:40,0:42,600,5:50,4:51,2:35,4:02,1:42,2:37,4:15,0:42,5:50,Prempt,0:43,3,6:33,Zero,6,6,,O,F Diag,86,Tall Cage,95,0:55,7:28,Housing,MANH,3,--,22,70,19,0,14,22,
,16,12,🇩🇪,jason_n,,,✔,7:29.374,7:29.374,06 Oct 2024,(V),-4936383011000236174,,Yes,https://www.speedrun.com/mc/runs/znxxp6vy,,BT,,Lava Pool,1:26,1:00,2:26,Stables,1:20,3:46,0:13,3:59,Fort,1:29,5:28,6/9,6,9,0.67,--,No,2,5:06,Calc,0:17,1,0,0,0,5:23,0:23,349,5:51,5:11,3:40,4:25,1:18,2:18,3:30,0:31,5:59,Prempt,0:38,1,6:37,Zero,5,5,,H,F Diag,88,M88,95,0:52,7:29,Stables,DBTRPL,6,--,21,63,6,0,52,17,
,17,13,🇫🇮,sadekeppi,,,✔,7:29.931,7:29.931,02 Apr 2025,(V),6582471955859004032,,Yes,https://www.speedrun.com/mc/runs/z5l4r5gy,,BT,,2x1 Magma,1:23,0:31,1:54,Housing,1:46,3:40,0:19,3:59,Fort,0:51,4:50,6/7,6,7,0.86,0:10,Yes,2,5:00,Calc,0:44,1,0,0,0,5:44,0:25,583,6:09,5:00,3:37,4:46,1:38,2:29,3:30,1:19,6:09,Prempt,0:29,1,6:38,Zero,6,6,,O,F Diag,91,M91,99,0:51,7:29,Housing,MANH,5,--,40,57,8,14,23,1,
,18,14,🇺🇸,doogile,,,✔,7:29.752,7:30.439,12 Dec 2023,(V),-8404662731985464270,18,Yes,https://www.speedrun.com/mc/runs/m3kq8ddy,,SH,,RP,1:46,0:35,2:21,Housing,1:28,3:49,0:31,4:20,Fort,0:31,4:51,5/7,5,7,0.71,0:12,Yes,2,5:03,HP,0:27,1,0,0,0,5:30,0:35,1102,6:05,5:03,3:17,4:19,1:12,2:26,3:09,1:14,6:05,Prempt,0:10,2,6:15,F.Zero,5,,5,B56,F Diag,91,M91,--,1:14,7:29,Housing,MANH,3,--,17,68,15,25,33,21,
