,DM hlswan if smthing is wrong,,,,,,,MINECRAFT 1.16+ RSG ANY% SUB-10 LEADERBOARD,,,,,,,,,OVERWORLD,,,,,FIRST STRUCTURE,,,,,SECOND STRUCTURE,,,,BLAZE RATES,,,,S2-E1,ALL RODS?,NETHER EXITS,OVERWORLD II,,,,,,,,,,,THEOR BLIND,NETHER SPLIT,TOTAL NETHER,TOTAL OW2,POST BLIND,STRUC2 TO FINISH,STRUC2 EX TO SH,STRONGHOLD,,,FRAMES FILLED,THE END,,,,,,,,,,,,Bastion Information,,,,Barter/Chest Loot Information,,,,,,TIMELOSS
,last updated 2/17/26,,,,,WR,PB,,,,,,,,,,TYPE,,PORTAL,NETHER,NE-S1,ENTER,TYPE,SPLIT,EXIT,S1-S2,ENTER,TYPE,SPLIT,EXIT,,DROPPED,KILLED,DECIMAL,,,,EXIT 1,TYPE,TRIANG,THROWN,BREAK,LEFT,T LOSS,REENTER,TO 2ND,DIST,EXIT 2,,,,,,,,ENTER,STRAT,SPLIT,,ENTER,STRAT,X USED,ZERO XPLOSIVES,PERCH XPLOSIVES,CG,NODE,TH,TOWER,SH,SPLIT,CREDITS,TYPE,ROUTE,CC,INFO,Obi,String,Glowst,Arrows,Pearls,Cobi,
,39,24,🇺🇸,Zylenox,,✔,✔,7:42.999,7:45.828,07 Feb 2023,(V),7499203634667178692,15,Yes,https://www.speedrun.com/mc/run/zg2q0lny,,,,,,,,,,,,,,,,,,,,0:00,,,,,0:00,,,,,,0:00,,,0:00,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,25,🇮🇱,orachi,,,✔,7:43.169,7:47.566,08 Jul 2025,(V),4897417229505621926,,Yes,https://www.speedrun.com/mc/runs/me2eeo2m,,,,,,,,,,,,,,,,,,,,0:00,,,,,0:00,,,,,,0:00,,,0:00,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,26,🇺🇸,meebie,,,✔,7:49.598,7:47.588,23 Nov 2024,(V),-6994443511834809581,,Yes,https://www.speedrun.com/mc/runs/y4lpk63z,,,,,,,,,,,,,,,,,,,,0:00,,,,,0:00,,,,,,0:00,,,0:00,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,-,,🇳🇴,skycrab1,,🗙,7:48.043,7:48.043,24 Apr 2025,(U),9061699410068612393,,Yes,https://www.youtube.com/watch?v=GoPCnP2PyWo&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=121,,,,,,,,,,,,,,,,,,,,0:00,,,,,0:00,,,,,,0:00,,,0:00,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,-,,🇦🇿,KenanKardes,,🗙,7:46.865,7:48.393,21 Aug 2025,(U),-11765461984395005,,Yes,https://www.youtube.com/watch?v=iKXaGZ3zmX8,,,,,,,,,,,,,,,,,,,,0:00,,,,,0:00,,,,,,0:00,,,0:00,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,-,,🇹🇿,Kxpow,,✔,7:48.623,7:48.623,09 Jun 2025,(V),692932803524010650,,Yes,https://www.speedrun.com/mc/runs/zpo1xonm,,,,,,,,,,,,,,,,,,,,0:00,,,,,0:00,,,,,,0:00,,,0:00,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,27,🇸🇪,v_strid,,,✔,7:49.149,7:49.149,08 Jun 2025,(V),6117620716132541251,,Yes,https://www.speedrun.com/mc/runs/yw2qgp0y,,,,,,,,,,,,,,,,,,,,0,,,,,0:00,,,,,,0:00,,,0:00,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,-,,🇺🇸,doogile,,🗙,7:48.748,7:50.206,29 Feb 2024,(U),8277071365134778012,,Yes,https://www.youtube.com/watch?v=ktTRyL2JWz0,,,,,,,,,,,,,,,,,,,,0,,,,,0:00,,,,,,0:00,,,0:00,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,-,,🇬🇧,priffie,,✔,7:50.291,7:50.291,05 Jun 2024,(V),6555576914548637179,,Yes,https://www.speedrun.com/mc/runs/ywg2ldnz,,,,,,,,,,,,,,,,,,,,0,,,,,0:00,,,,,,0:00,,,0:00,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,-,,🇳🇴,skycrab1,,🗙,7:50.670,7:50.670,18 Nov 2024,(U),-1765111318942208381,,Yes,https://www.youtube.com/watch?v=JfVKj2Nz5vE&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=97,,,,,,,,,,,,,,,,,,,,0,,,,,0:00,,,,,,0:00,,,0:00,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,-,,🇺🇸,doogile,,✔,7:50.112,7:51.014,21 Jun 2023,(V),291596226023214174,15,Yes,https://www.speedrun.com/mc/run/zgedgrvy,,,,,,,,,,,,,,,,,,,,0,,,,,0:00,,,,,,0:00,,,0:00,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,28,🇦🇺,mikky_,,,✔,7:51.104,7:51.620,19 Sep 2024,(V),-7641908410120115826,,Yes,https://www.speedrun.com/mc/runs/ydljp8jz,,,,,,,,,,,,,,,,,,,,0,,,,,0:00,,,,,,0:00,,,0:00,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,29,,BlazeMind,,,✔,7:49.832,7:51.665,27 Jan 2026,(Q),tbd,,,https://www.youtube.com/watch?v=0e-OYyUWBT0,,,,,,,,,,,,,,,,,,,,0,,,,,0:00,,,,,,0:00,,,0:00,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,-,,🇳🇴,skycrab1,,🗙,7:51.826,7:51.826,25 Dec 2024,(U),-7679264656588706480,,Yes,https://www.youtube.com/watch?v=Nag0tKfRWgc&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=106,,,,,,,,,,,,,,,,,,,,0,,,,,0:00,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,-,,🇳🇴,skycrab1,,🗙,7:52.279,7:53.490,14 May 2024,(U),3412336035458832291,,Yes,https://www.youtube.com/watch?v=zY_QWRWxGE0&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=20,,,,,,,,,,,,,,,,,,,,0,,,,,0:00,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,-,,🇺🇸,meebie,,🗙,7:50.698,7:53.506,28 Jun 2025,(U),5748636184496198066,,Yes,https://www.youtube.com/watch?v=giuYrUlLBq8,,,,,,,,,,,,,,,,,,,,0,,,,,0:00,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,30,🇹🇷,ulsahin,,,✔,7:51.545,7:53.512,24 Oct 2025,(V),7066468390795139054,,Yes,https://www.speedrun.com/mc/runs/mr5kp38y,,,,,,,,,,,,,,,,,,,,0,,,,,0:00,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,-,,🇺🇸,doogile,,🗙,7:52.863,7:53.548,27 Jan 2024,(U),-2273417716457818411,18,Yes,https://www.youtube.com/watch?v=E-qMOVRq0Go,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,57,-,,🇳🇴,skycrab1,,🗙,7:45.964,7:53.929,23 Oct 2025,(U),5643603245218707817,,Yes,https://www.youtube.com/watch?v=zg_t8sgrqFk&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=147,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58,-,,🇳🇴,skycrab1,,🗙,7:52.279,7:53.490,14 May 2024,(U),-3412336035458832291,,,https://www.youtube.com/watch?v=zY_QWRWxGE0&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=20,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,-,,🇺🇸,Infume,,🗙,7:53.848,7:53.848,23 Jul 2025,(U),unknown,,,https://www.youtube.com/watch?v=dpJWEh0YCUo&list=PLNlBsWHYU3zCJ5XoAac-T3YF54AvqfXXn&index=22,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,31,🇸🇪,ANJOUU,,,✔,7:54.143,7:54.143,28 Apr 2025,(V),5590192376632660897,,Yes,https://www.speedrun.com/mc/runs/y6j7vnpm,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61,32,🇩🇪,Blad_d,,,✔,7:52.310,7:54.145,14 Apr 2025,(V),-4813633027442683952,,Yes,https://www.speedrun.com/mc/runs/zgj4w4dz,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62,33,?,nyachloe,,,✔,7:54.377,7:54.377,19 Jul 2025,(B),unknown,,,https://www.youtube.com/watch?v=nyQdh9HJXNM&list=PLZ59bMb0zBUSR6W9smbN1LDkQJlGfPEUk&index=49,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63,34,🇭🇷,Mar1n,,,✔,7:55.128,7:55.128,22 Jun 2025,(V),-7684621580507828677,,Yes,https://www.speedrun.com/mc/runs/m7lwl84y,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,64,-,,🇺🇸,meebie,,🗙,7:55.456,7:55.456,07 Jun 2025,(U),3603293482983366385,,Yes,https://www.youtube.com/watch?v=caV9b4ltoSQ,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65,-,,🇺🇸,Zylenox,,🗙,7:52.850,7:55.550,22 Apr 2025,(U),-4019650266393698573,,Yes,http://youtube.com/watch?v=aEZQAJ5LhgA&list=PLZ59bMb0zBUSR6W9smbN1LDkQJlGfPEUk&index=51,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,66,35,🇵🇱,pardonmc,,,✔,7:55.683,7:55.683,17 Jul 2025,(V),6664192904935921173,,Yes,https://www.speedrun.com/mc/runs/yd4j7evy,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67,-,,🇩🇰,Bloopy,,🗙,7:52.588,7:55.999,02 Jun 2025,(U),-1088594931172127368,,,https://www.youtube.com/watch?v=lAD-2zBAaWk,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,68,36,🇳🇱,HDMICables,,,✔,7:55.623,7:56.598,07 May 2025,(V),-2481499363875064100,,Yes,https://www.speedrun.com/mc/runs/yd437kxy,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69,-,,,okshey,,✔,7:56.752,7:56.752,17 Feb 2026,(Q),-6419209590101822881,,,https://www.youtube.com/watch?v=htI0L1pBEV0,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70,-,,🇩🇪,jason_n,,🗙,7:56.903,7:56.903,16 May 2025,(U),8174323531600874073,,Yes,https://www.youtube.com/watch?v=mEjUzh-nDqI,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,71,-,,🇳🇴,skycrab1,,🗙,7:56.326,7:58.380,20 Sep 2024,(U),-630318768044632099,,Yes,https://www.youtube.com/watch?v=5xFvTb5MDmQ&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=71,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,72,-,,🇨🇦,Aquacorde,,✔,7:57.023,7:57.023,14 Mar 2025,(V),5239949107527415069,,Yes,https://www.speedrun.com/mc/runs/y9pe59em,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,73,38,🇿🇦,Airpodsz,,,✔,7:57.301,7:57.301,20 Oct 2025,(V),1950744630814396345,,Yes,https://www.speedrun.com/mc/runs/z175257z,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,74,-,,🇫🇮,sadekeppi,,✔,7:56.839,7:57.450,21 Feb 2025,(V),-8774410482674782880,,Yes,https://www.speedrun.com/mc/runs/zpkp2jvy,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,-,,🇨🇦,Jay12310,,🗙,7:57.965,7:57.965,25 Dec 2025,(U),unknown,,Yes,https://www.youtube.com/watch?v=Dsok_v8zWzA&list=PLZ59bMb0zBUSR6W9smbN1LDkQJlGfPEUk,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,76,39,🇵🇱,MattyLopez,,,✔,7:58.102,7:58.102,01 Mar 2025,(V),-7204778880031266135,,Yes,https://www.speedrun.com/mc/runs/z08d87jm,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,77,40,🇨🇿,kohout135,,,✔,7:57.901,7:58.328,16 Jun 2025,(V),505133867771410090,,Yes,https://www.speedrun.com/mc/runs/yd4epqwy,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,78,-,,🇩🇰,Bloopy,,🗙,7:58.540,7:58.540,04 Feb 2025,(U),9020295482724158911,,,https://www.youtube.com/watch?v=rB_AjEUIYWE,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,79,41,🇦🇺,bigbigmongey,,,✔,7:58.900,7:59.372,20 Oct 2025,(V),4336613090571479730,,Yes,https://www.speedrun.com/mc/runs/zn5kqqvz,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80,42,🇺🇦,dinonuggieboi,,,✔,7:58.082,7:59.376,10 May 2025,(V),4495867891036383676,,Yes,https://www.speedrun.com/mc/runs/z16jpxwm,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,81,-,,🇺🇸,Infume,,✔,7:59.698,7:59.698,08 May 2025,(V),1457025420686153641,,Yes,https://www.speedrun.com/mc/runs/yd4634jy,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,82,-,,🇨🇦,Aquacorde,,🗙,7:59.882,8:00.035,19 Aug 2025,(U),-6415662147603823754,,,https://www.youtube.com/watch?v=WdnsDM7UisA,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,83,43,🇦🇹,Mescht,,,✔,8:00.384,8:00.384,09 Apr 2025,(V),8206887781532841360,,Yes,https://www.speedrun.com/mc/runs/mko6ex3z,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0:00,,,0,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,84,-,,🇩🇪,jason_n,,🗙,8:00.870,8:00.870,15 Jun 2025,(U),see video,,,https://www.youtube.com/watch?v=WU1fSPhJGAk,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85,44,🇺🇸,thecamo6,,,✔,8:00.680,8:01.217,28 May 2024,(V),8027147372185455800,,,https://www.speedrun.com/mc/runs/mel636qz,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,86,45,🇺🇦,7rowl,,,✔,8:00.564,8:01.225,19 Jul 2024,(V),4542168202417465956,,,https://www.speedrun.com/mc/runs/y4l3p3qz,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,87,-,,🇩🇪,jason_n,,🗙,8:01.271,8:01.271,25 Oct 2024,(U),-8000908414180372217,,,https://www.youtube.com/watch?v=VmnT8lICQ94,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,88,46,🇧🇪,boyenn,,,✔,7:59.551,8:01.422,08 Jun 2025,(V),254566834946075032,,,https://www.speedrun.com/mc/runs/z00rj59z,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,89,-,,🇬🇧,priffie,,✔,8:03.241,8:03.241,03 Dec 2023,(V),-4868324554498692300,12,Yes,https://www.speedrun.com/mc/run/yoole61y,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,-,,🇳🇴,skycrab1,,🗙,8:03.337,8:03.337,17 Jun 2025,(U),-4304452735829751506,,,https://www.youtube.com/watch?v=ul-SUoNx_XU&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=131,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,91,-,,🇳🇴,skycrab1,,🗙,8:04.394,8:04.394,30 Sep 2025,(U),see video,,,https://www.youtube.com/watch?v=xW_pib-H4zw&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=143,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92,-,,🇨🇦,Jay12310,,🗙,8:04.480,8:04.480,26 Jan 2025,(U),unknown,,,https://www.youtube.com/watch?v=jjYvP5zAbZg&list=PLaTJSsRuu2UcsiC6KEkJwrGp1GaGgPoVG&index=5,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,93,-,,🇺🇦,7rowl,,✔,8:04.491,8:05.070,13 May 2024,(U),3390807343358437717,,,https://www.youtube.com/watch?v=1KMm0eJPRws,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,94,-,,🇳🇴,skycrab1,,🗙,8:05.447,8:05.447,13 Jul 2025,(U),8311211913392066784,,,https://www.youtube.com/watch?v=MPlhH010LdE&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=133,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,-,,🇺🇦,loodlow,,✔,8:02.631,8:05.732,30 Jun 2025,(V),6502082647557812063,,,https://www.speedrun.com/mc/runs/z16gg09m,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,96,-,,🇵🇱,watermelon1708,,✔,8:03.854,8:07.194,06 Jul 2025,(V),9122600350394059007,,,https://www.speedrun.com/mc/runs/yw2v45ny,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,-,,🇩🇪,jason_n,,🗙,8:07.349,8:07.349,10 Jun 2025,(U),6183710647574302652,,,https://www.youtube.com/watch?v=Logr5V0QDDk,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98,47,🇮🇱,sagi_enderman,,,✔,8:05.180,8:08.427,24 Jan 2024,(V),-1127568643405241248,,,https://www.speedrun.com/mc/runs/zqdn2l1m,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,-,,🇩🇪,jason_n,,✔,8:10.305,8:10.305,12 May 2024,(V),-8081672849157921881,,,https://www.speedrun.com/mc/runs/y46kvjnz,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,-,,🇺🇸,meebie,,✔,8:09.372,8:10.419,07 Jul 2023,(V),-4538563713628989532,12,Yes,https://www.speedrun.com/mc/run/zge2pn0y,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,-,,🇸🇰,NoFear1337,,🗙,7:47.229,8:10.447,27 Dec 2023,(U),unknown,16,Yes,https://www.youtube.com/watch?v=GFz5UcBTrAk,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,102,-,,🇳🇴,skycrab1,,🗙,8:09.558,8:10.528,23 Jun 2023,(U),-6343411097658357214,,,https://www.youtube.com/watch?v=pmNaJCUang0&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=38,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103,-,,🇨🇦,Aquacorde,,🗙,8:10.818,8:10.818,15 Jul 2025,(U),5155476148031295835,,,https://www.youtube.com/watch?v=m5GWURA89ts,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,104,-,,🇳🇴,skycrab1,,🗙,8:10.890,8:10.890,06 Jan 2025,(U),-7855142198495008899,,,https://www.youtube.com/watch?v=__bACJwOlow&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=107,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,105,-,,🇳🇴,skycrab1,,🗙,8:12.697,8:12.697,16 Jun 2025,(U),8459975692548252643,,,https://www.youtube.com/watch?v=snXcok9zxhU&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=130,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,106,-,,🇺🇸,Zylenox,,🗙,8:11.111,8:13.283,16 Mar 2023,(U),3386076644250915113,15,Yes,https://www.youtube.com/watch?v=t_huEH4IZxg,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,-,,🇨🇦,Aquacorde,,🗙,8:14.109,8:14.109,05 Jul 2025,(U),6586350975935929914,,,https://www.youtube.com/watch?v=G0Hp7oeSKuw,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,108,-,,🇨🇦,Jay12310,,🗙,8:14.911,8:14.911,01 Dec 2025,(U),unknown,,,https://www.youtube.com/watch?v=DQen1iTu-So&list=PLaTJSsRuu2UcsiC6KEkJwrGp1GaGgPoVG&index=9,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,109,-,,🇺🇸,doogile,✔,✔,8:10.241,8:15.537,06 Nov 2022,(V),9153513292182018950,,,https://www.youtube.com/watch?v=8DYIvJETTDE,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,110,-,,🇨🇦,Aquacorde,,🗙,8:16.080,8:16.080,19 Jul 2025,(U),-3413707190764289689,,,https://www.youtube.com/watch?v=ip7IP1Srx_o,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,111,-,,🇨🇦,Aquacorde,,🗙,8:17.895,8:17.895,12 Aug 2025,(U),-7262470716101336113,,,https://www.youtube.com/watch?v=ytYXAwlQPWg,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,112,-,,🇩🇪,jason_n,,🗙,8:18.588,8:18.588,19 Aug 2025,(U),4176206987315611766,,,https://www.youtube.com/watch?v=GBSM3X1G7Rg,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,0:00,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
