flag,runner_name,is_wr,is_pb,in_game_time,re_timed_time,date,days_since,src_status,seed,instances(depracated),calc(depracated),link,minutes,seconds,milliseconds,total_milliseconds,retime_ms,retime,current_wr,cur_wr_normal_time,wr_at_time,normal_time,decay,weight,k,run_score,non_weighted_run_score,current_wr_run_score,dynamic_k,blank,iron_source,has_tnt,enter_type,enter_time,enter_structure1_split,structure_1_time,structure1_type,structure1_split,structure1_exit_time,structure1_structure2_split,structure2_time,structure2_type,structure_2_split,structure2_exit,blaze_rates_string,blaze_rods_collected,blazes_killed,blaze_rates_decimal,structure2_exit_exit1_split,rods_obtained_pre_exit1,num_exits,exit1_time,stronghold_travel_type,triangulation_split,eyes_thrown,eye_breaks,eyes_left,total_eye_loss,reenter_time,exit_2_split,stronghold_distance,<500,500-1000,1000-1500,1500-2000,2000+,exit_2_time,theoretical_blind,nether_split,total_nether,total_ow2,post_blind,structure2_finish_split,structure2_exit_stronghold_split,stronghold_time,portal_room_locator_type,stronghold_split,frames_filled,frames_needed,end_enter_time,end_type,explosives_used,rotations,zero_explosivies,perch_explosives,end_spawn_type,dragon_node,dragon_location,dragon_angle,tower_height,tower,standing_height,end_split,truncated_igt,bastion_type_2,bastion_route,chests_checked,depracated_bastion_info,bastion_enter_time,bastion_enter_route_start_split,route_start_time,route_split,total_bastion_split,bastion_exit_time,obsidian,string,glowstone,arrows,pearls,crying_obsidian,days_since_2,elo_weight,elo,timeloss,,,,,,,,,,,
🇺🇸,lowkey,1,1,6:48.508,6:50.359,11 Jun 2025,359,(V),-8717682453392808086,,Yes,https://www.speedrun.com/mc/runs/m7l7960y,6,50,359,410359,1851,1.851,408508,1,421494,0.9735820676,,0.8357,0.5145509995,84.7280,101.3871,1000.0000,0.60000,,BT,🗙,2x1 Magma,1:39,0:23,2:02,Bridge,1:58,4:00,0:00,4:00,Fort,0:32,4:32,6/6,6,6,1.00,0:12,Yes,6,2,4:44,Calc,0:25,2,0,0,0,5:09,0:33,1289,0,0,1,0,0,5:42,4:44,3:05,3:38,1:12,2:04,2:48,1:10,5:42,Prempt,0:14,1,,5:56,Zero,6,4,6,--,O,B Diag,B,Diag,85,M85,99,0:52,6:48,Bridge,DK,6,DT,2:02,,,,1:58,4:00,28,82,22,40,,24,359,0.009785751303,9.921494183,1,39,99,3,5,185,1,12,72,0,52
🇨🇦,Jay12310,0,1,6:56.051,6:56.731,04 Feb 2026,121,(V),6044301913007956989,,,https://www.speedrun.com/mc/runs/mep526qy,6,56,731,416731,680,0.68,416051,1.015527867,410359,1.015527867,,0.9413,0.6569457855,93.1814,98.9928,989.7499,0.66865,,BT,,2x1 Magma,1:08,0:28,1:36,Stables,2:00,3:36,0:03,3:39,Fort,1:38,5:28,6/12,6,12,0.50,--,No,,2,4:59,Calc,0:11,1,0,1,1,5:10,0:23,739,0,1,0,0,0,5:51,5:17,4:09,4:32,0:47,1:39,3:17,0:23,5:51,Prempt,0:13,1,,6:04,Zero,5,,5,--,B57,F Diag,F,Diag,83,Small Cage,94,0:52,6:56,Stables,GAP,1,B-TST,1:36,,,,2:00,3:36,20,60,30,0,28,16,121,0.8376490173,829.2126212,1,8,68,4,9,249,0,47,47,0,52
🇮🇹,drip120,1,1,7:00.799,7:01.494,03 Jan 2024,884,(V),8802654848425114236,15,Yes,https://www.speedrun.com/mc/run/y8ko8qny,7,1,494,421494,695,0.695,420799,1.027134777,446254,0.9445159035,,0.6427,0.4353010615,65.8921,102.5159,980.7699,0.72526,,BT,,2x1 Magma,1:18,0:15,1:33,Treasure,1:38,3:11,0:21,3:32,Fort,0:58,4:57,6/9,6,9,0.67,--,No,,2,4:26,Calc,0:27,1,0,0,0,4:53,0:25,821,0,1,0,0,0,5:22,4:30,3:12,3:37,1:14,2:30,3:28,0:25,5:22,Prempt,0:22,0,,5:44,Perch,5,--,--,5,NZ-O,--,--,,--,--,--,1:16,7:00,Treasure,BOOMR,4,8/12,1:33,,,,1:38,3:11,21,70,26,0,,22,884,0,0,1,18,78,3,12,192,1,14,74,1,16
?,pavkin,0,1,7:05.066,7:05.066,02 Jun 2026,3,(Q),-8631010155278757961,,,https://www.youtube.com/watch?v=D33RRwcqqY4,7,5,66,425066,0,0,425066,1.03583935,410359,1.03583935,,0.9985,0.7397596449,97.2828,97.4288,973.2199,0.77091,,SH,🗙,2x1 Magma,1:27,0:15,1:42,Housing,1:42,3:24,0:27,3:51,Fort,0:56,4:47,6/11,6,11,0.55,0:14,Yes,6,1,5:01,Blind,0:46,1,1,0,1,--,--,175,1,0,0,0,0,--,5:01,3:34,3:34,1:18,2:04,3:14,1:00,5:47,Prempt,0:32,2,1,6:19,Zero,5,3,5,--,O,B Diag,B,Diag,91,M91,99,0:46,7:05,Housing,TOPD,3,RT,1:42,0:14,1:56,1:28,1:42,3:24,12,90,51,28,33,18,3,0.9999973,974.2852396,1,27,87,3,34,214,1,18,78,0,46
🇨🇦,Aquacorde,0,1,7:08.699,7:08.699,10 Mar 2026,87,(Q),2129033182999502069,,,https://www.speedrun.com/mc/runs/y4vwx5ny,7,8,699,428699,0,0,428699,1.044692574,410359,1.044692574,,0.9574,0.7790309314,92.5370,96.6512,964.7691,0.82032,,BT,✔,2x1 Magma,1:29,0:07,1:36,Housing,1:37,3:13,0:12,3:25,Fort,1:04,4:29,6/10,6,10,0.60,0:12,Yes,,2,4:41,Calc,0:15,1,0,0,0,4:56,1:07,1773,0,0,0,1,0,6:03,4:41,3:12,4:19,1:39,2:27,3:43,1:34,6:03,Prempt,0:17,1,,6:20,Zero,5,,5,--,O,B 1/8,B,1/8,--,--,93,0:48,7:08,Housing,TOPD,3,--,1:36,,,,1:37,3:13,24,67,31,53,58,13,87,0.9362710136,904.9174089,1,29,89,3,12,192,1,39,99,0,48
🇨🇦,Jay12310,0,0,7:09.845,7:09.845,29 May 2026,7,(U),video,,,https://www.youtube.com/watch?v=hP4_bUJulk4,7,9,845,429845,0,0,429845,1.047485251,410359,1.047485251,,0.9965,0.7918396051,96.0563,96.3931,961.9337,0.83655,,BT,✔,2x1 Magma,1:07,0:49,1:56,Bridge,1:43,3:39,0:01,3:40,Fort,1:41,5:32,7/19,7,19,0.37,--,No,,2,5:16,Calc,0:11,1,0,1,1,5:27,0:20,851,0,1,0,0,0,5:52,5:21,4:14,4:34,1:01,1:48,3:29,0:20,5:52,Prempt,0:30,2,0,6:22,Zero,5,3,5,--,O,F Diag,F,Diag,88,M88,99,0:47,7:09,Bridge,LODES,3,--,1:56,0:13,2:09,1:30,1:43,3:39,23,150,27,25,27,24,7,0.9999657006,963.8982359,1,7,67,4,14,254,1,1,61,0,47
🇺🇦,loodlow,0,1,7:10.076,7:11.350,21 Oct 2025,227,(V),-1058044179150873683,,Yes,https://www.speedrun.com/mc/runs/ydo05ojz,7,11,350,431350,1274,1.274,430076,1.051152771,410359,1.051152771,,0.8927,0.8089749346,85.7394,96.0446,958.0821,0.85837,,BT,,2x1 Magma,1:31,0:35,2:06,Housing,1:45,3:51,0:05,3:56,Fort,0:37,4:33,6/7,6,7,0.86,0:13,Yes,,1,4:46,Blind,1:05,1,0,0,0,--,--,136,1,0,0,0,0,--,4:46,3:15,3:15,1:34,2:24,3:14,1:18,5:51,Prempt,0:29,0,,6:20,Zero,5,,5,--,O,B Diag,B,Diag,103,Tall Boi,95,0:50,7:10,Housing,TOPD,5,TR,2:06,,,,1:45,3:51,23,80,25,15,,32,227,0.3104574885,298.1776027,1,31,91,3,15,195,1,34,94,0,50
🇨🇦,Aquacorde,0,1,7:09.181,7:12.114,16 Feb 2026,109,(Q),-6645733506759892987,,,https://www.speedrun.com/mc/runs/zpvnl4gz,7,12,114,432114,2933,2.933,429181,1.053014556,410359,1.053014556,,0.9470,0.8178118521,90.7787,95.8634,956.0702,0.86966,,BT,,RP,1:08,0:48,1:56,Bridge,2:04,4:00,0:11,4:11,Fort,1:15,5:26,7/10,7,10,0.70,0:10,Yes,,1,5:36,Blind,0:41,2,0,0,0,--,--,180,1,0,0,0,0,--,5:36,4:28,4:28,0:47,1:33,2:58,0:51,6:17,OEPR,0:06,1,,6:23,Zero,5,,5,--,O,B Diag,B,Diag,91,M91,99,0:46,7:09,Bridge,DK,4,TS,1:56,,,,2:04,4:00,18,109,19,19,24,30,109,0.8785320407,842.190829,1,8,68,4,28,268,0,47,47,0,46
🇩🇰,Bloopy,0,1,7:13.157,7:13.157,16 Oct 2025,232,(V),-5449384532227041969,,Yes,https://www.speedrun.com/mc/runs/yv535lom,7,13,157,433157,0,0,433157,1.055556232,410359,1.055556232,,0.8905,0.8300281801,85.1396,95.6114,953.2609,0.88531,,BT,,2x1 Magma,1:03,0:24,1:27,Housing,1:49,3:16,0:12,3:28,Fort,1:14,4:42,5/9,5,9,0.56,0:15,Yes,,1,4:57,Blind,1:11,1,0,0,0,--,--,587,0,1,0,0,0,--,4:57,3:54,3:54,1:23,2:16,3:45,1:26,6:08,OEPR,0:12,2,,6:20,Zero,6,,6,--,O,F Diag,F,Diag,103,Tall Boi,95,0:53,7:13,Housing,MANH,3,SINGLE,1:27,,,,1:49,3:16,18,108,43,44,,16,232,0.2868726758,274.2830574,1,3,63,3,54,234,1,23,83,0,53
🇨🇦,Aquacorde,0,0,7:13.017,7:13.178,04 Jun 2026,1,(U),todo,,,https://www.youtube.com/watch?v=th2B5695usM,7,13,178,433178,161,0.161,433017,1.055607407,410359,1.055607407,,0.9995,0.830275965,95.5585,95.6063,953.2036,0.88562,,BT,✔,2x1 Magma,1:15,0:17,1:32,Housing,1:33,3:05,0:41,3:46,Fort,1:04,5:10,6/8,6,8,0.75,--,No,5,2,4:44,Calc,0:20,1,0,0,0,5:04,0:49,1480,0,0,1,0,0,5:59,4:50,3:35,4:24,1:31,2:23,3:27,0:49,5:59,Prempt,0:22,2,0,6:21,Zero,6,4,6,--,B57,B Diag,B,Diag,97,T97,95,0:52,7:13,Housing,MANH,3,--,1:32,0:09,1:41,1:24,1:33,3:05,26,132,43,40,33,15,1,0.9999999,956.0628756,1,15,75,3,35,215,1,31,91,0,52
🇵🇱,watermelon1708,0,1,7:16.326,7:16.326,07 Dec 2025,180,(V),-3009416634026052013,,Yes,https://www.speedrun.com/mc/runs/y9wx8x2z,7,16,326,436326,0,0,436326,1.063278739,410359,1.063278739,,0.9139,0.8682453027,86.6517,94.8121,944.2692,0.93459,,BT,,2x1 Magma,1:24,0:05,1:29,Bridge,1:59,3:28,0:15,3:43,Fort,1:42,5:45,6/14,6,14,0.43,--,No,,2,5:17,Calc,0:20,1,0,0,0,5:37,0:25,671,0,1,0,0,0,6:10,5:25,4:01,4:26,1:01,1:50,3:32,0:25,6:10,Prempt,0:16,2,,6:26,Zero,6,,6,--,O,F Diag,F,Diag,91,M91,99,0:49,7:15,Bridge,SOOG,4,RT,1:29,,,,1:59,3:28,21,128,60,12,32,49,180,0.5581095554,529.1553761,1,24,84,4,1,241,1,1,61,0,49
🇳🇴,skycrab1,0,1,7:16.474,7:16.560,02 Jan 2026,154,(V),-8753882162041693203,,Yes,https://www.speedrun.com/mc/runs/m320j36y,7,16,560,436560,86,0.086,436474,1.063848971,410359,1.063848971,,0.9259,0.8711339965,87.7290,94.7510,943.5775,0.93834,,BT,,2x1 Magma,1:47,0:16,2:03,Treasure,1:40,3:43,0:29,4:12,Fort,0:58,5:25,6/9,6,9,0.67,--,No,,2,4:56,Calc,0:15,1,0,0,0,5:11,0:30,1066,0,0,1,0,0,5:55,5:10,3:23,3:53,1:14,2:04,3:02,0:30,5:55,Prempt,0:29,3,,6:24,Zero,6,,6,--,O,F Diag,F,Diag,88,M88,99,0:50,7:14,Treasure,BOOMR,4,--,2:03,,,,1:40,3:43,22,110,45,31,29,21,154,0.6940395025,657.6095737,1,47,107,3,23,203,1,14,74,0,50
🇨🇦,wethr,0,1,7:17.054,7:17.054,13 May 2026,23,(Q),-5868183305155852020,,,https://www.speedrun.com/mc/runs/z02q5n9m,7,17,54,437054,0,0,437054,1.065052795,410359,1.065052795,,0.9886,0.8772629382,93.5393,94.6212,942.1043,0.94629,,BT,✔,Cave Lava,1:34,1:07,2:41,Stables,1:36,4:17,0:00,4:17,Fort,0:44,5:01,6/7,6,7,0.86,0:12,Yes,,1,5:13,Blind,0:56,2,1,0,1,--,--,537,0,1,0,0,0,--,5:13,3:39,3:39,1:12,2:04,3:00,1:08,6:09,OEPR,0:16,2,1,6:25,F.Zero,4,--,--,4,--,--,--,--,--,--,--,0:52,7:17,Stables,DBTRPL,6,DBTRPL,2:41,0:26,3:07,1:10,1:36,4:17,15,57,0,9,38,32,23,0.9987840399,945.0611498,1,34,94,3,39,219,1,12,72,0,52
🇵🇱,okshey,0,1,7:21.820,7:21.820,22 Mar 2026,75,(Q),todo,,,https://www.speedrun.com/mc/runs/z5nrjxez,7,21,820,441820,0,0,441820,1.076667016,410359,1.076667016,,0.9632,0.9385710475,89.8676,93.3016,926.9752,1.02651,,BT,✔,2x1 Magma,1:13,0:27,1:40,Treasure,1:50,3:30,0:13,3:43,Fort,1:32,5:15,6/11,6,11,0.55,0:11,Yes,,2,5:26,Calc,0:19,1,0,0,0,5:45,0:23,558,0,1,0,0,0,6:08,5:26,4:13,4:36,1:07,1:55,3:38,0:53,6:08,Prempt,0:25,1,0,6:33,Zero,5,3,5,--,B58,F Diag,F,Diag,86,Tall Cage,95,0:48,7:21,Treasure,BOOMR,4,--,1:40,,,,1:50,3:30,20,79,58,36,23,29,75,0.9586900093,894.4735862,1,13,73,4,13,253,1,7,67,0,48
🇨🇦,NoHacsJustRoblox,0,1,7:21.808,7:22.283,29 Apr 2024,767,(V),8722833245086318634,,Yes,https://www.speedrun.com/mc/runs/z58ewkez,7,22,283,442283,475,0.475,441808,1.077795296,421494,1.049322173,,0.6815,0.8003771264,65.5712,96.2199,925.4147,1.03465,,BT,,2x1 Magma,1:13,0:25,1:38,Bridge,1:40,3:18,0:24,3:42,Fort,0:59,4:41,6/9,6,9,0.67,0:02,Yes,,2,4:39,Calc,0:14,1,0,1,1,4:53,0:41,1939,0,0,0,1,0,5:34,4:39,3:26,4:07,1:16,2:42,3:39,0:53,5:34,Prempt,0:21,1,,5:55,F.PC,4,--,--,4,NZ-B57,--,--,,--,--,--,1:26,7:21,Bridge,OLD,3,--,1:38,,,,1:40,3:18,24,49,35,0,,11,767,0,0,1,13,73,3,26,206,1,16,76,1,26
🇳🇴,skycrab1,0,1,7:22.684,7:23.784,19 Apr 2024,777,(V),6338107534563615641,,Yes,https://www.speedrun.com/mc/runs/mew18n2m,7,23,784,443784,1100,1.1,442684,1.081453069,421494,1.052883315,,0.6781,0.8171858444,65.0111,95.8763,920.2419,1.06147,,BT,,1x1 Magma,1:49,0:05,1:54,Housing,1:51,3:45,0:26,4:11,Fort,0:30,4:41,6/7,6,7,0.86,0:09,Yes,,2,4:50,Calc,0:25,1,0,0,0,5:15,0:55,1439,0,0,1,0,0,6:10,4:50,3:01,3:56,1:38,2:32,3:11,1:29,6:10,Prempt,0:18,2,,6:28,Zero,7,,7,--,O,F Diag,F,Diag,94,T94,99,0:54,7:22,Housing,MANJ,5,DT,1:54,,,,1:51,3:45,21,57,56,0,,38,777,0,0,1,49,109,3,1,181,1,38,98,0,54
🇨🇦,Aquacorde,0,1,7:24.170,7:24.170,16 Oct 2025,232,(V),-1813865513517318496,,Yes,https://www.speedrun.com/mc/runs/ydo6pewz,7,24,170,444170,0,0,444170,1.082393709,410359,1.082393709,,0.8905,0.9702956646,82.4628,92.6054,918.8832,1.06847,,BT,,2x1 Magma,1:16,0:38,1:54,Housing,1:43,3:37,0:39,4:16,Fort,1:03,5:41,6/8,6,8,0.75,--,No,,2,5:11,Calc,0:22,2,0,0,0,5:33,0:34,867,0,1,0,0,0,6:15,5:19,4:03,4:37,1:17,2:05,3:08,0:34,6:15,Prempt,0:21,1,,6:36,Zero,5,,5,--,H,F Diag,F,Diag,86,Tall Cage,99,0:48,7:24,Housing,TOPD,3,--,1:54,,,,1:43,3:37,27,75,18,46,,26,232,0.2868726758,265.6594787,1,16,76,4,3,243,1,17,77,0,48
🇸🇰,NoFear1337,1,1,7:24.504,7:26.254,08 Dec 2023,910,(V),-8415980398606239765,12,Yes,https://www.speedrun.com/mc/run/m7308v9y,7,26,254,446254,1750,1.75,444504,1.087472189,465828,0.9579801987,,0.6344,0.4702249908,64.7385,102.0391,911.3441,1.10707,,BT,,RP,1:39,0:33,2:12,Treasure,1:50,4:02,0:19,4:21,Fort,0:34,4:55,5/6,5,6,0.83,0:06,Yes,,2,5:01,HP,0:36,2,0,0,0,5:37,0:36,1489,0,0,1,0,0,6:13,5:01,3:22,3:58,1:28,2:23,3:03,1:18,6:13,Prempt,0:16,4,,6:29,Zero,6,,6,--,O,F Diag,F,Diag,85,M85,95,0:55,7:24,Treasure,BOOMR,4,8/10,2:12,,,,1:50,4:02,10,121,55,25,44,26,910,0,0,1,39,99,3,22,202,1,28,88,0,55
🇳🇴,skycrab1,0,0,7:27.923,7:27.923,20 Mar 2026,77,(U),-5301700605608362807,,,https://www.youtube.com/watch?v=gd8ToSBA6yY,7,27,923,447923,0,0,447923,1.091539359,410359,1.091539359,,0.9622,1.023093743,87.9755,91.4286,905.0543,1.13896,,BT,🗙,2x1 Magma,1:35,0:50,2:25,Treasure,1:40,4:05,0:15,4:20,Fort,0:31,4:51,6/7,6,7,0.86,0:11,Yes,,2,5:02,Calc,0:10,1,1,0,1,5:12,1:07,1745,0,0,0,1,0,6:19,5:02,3:27,4:34,1:39,2:25,3:07,1:28,6:19,Prempt,0:22,1,1,6:41,Zero,5,,5,--,O,B Diag,B,Diag,91,M91,99,0:46,7:27,Treasure,BOOMR,4,10/15,2:25,,,,1:40,4:05,18,112,11,25,39,31,77,0.9553731326,873.4843962,1,35,95,3,27,207,1,39,99,0,46
🇫🇮,AndrewCrow,0,1,7:28.358,7:28.874,17 Feb 2026,108,(Q),-346656346610546380,,,https://www.speedrun.com/mc/runs/m389g06y,7,28,874,448874,516,0.516,448358,1.093856842,410359,1.093856842,,0.9474,1.036900388,86.3277,91.1175,901.3684,1.15752,,BT,,2x1 Magma,1:25,0:36,2:01,Bridge,1:53,3:54,0:13,4:07,Fort,0:52,4:59,6/7,6,7,0.86,0:09,Yes,,2,5:08,Calc,0:30,1,0,0,0,5:38,0:44,1131,0,0,1,0,0,6:22,5:08,3:43,4:27,1:26,2:20,3:21,1:23,6:22,PR,0:12,2,,6:34,Zero,7,,7,--,O,F Diag,F,Diag,91,M91,99,0:54,7:28,Bridge,CRKSMK,3,--,2:01,,,,1:53,3:54,29,94,36,26,32,27,108,0.8816402377,803.3286538,1,25,85,3,43,223,1,26,86,0,54
🇨🇦,Jay12310,0,1,7:28.256,7:29.121,02 Aug 2024,672,(V),-6421260664080147265,,Yes,https://www.speedrun.com/mc/runs/y8prdrxz,7,29,121,449121,865,0.865,448256,1.094458754,421494,1.065545417,,0.7146,0.8797829997,67.5802,94.5677,900.3988,1.16239,,BT,,2x1 Magma,1:48,0:28,2:16,Fort,0:37,2:53,0:20,3:13,Housing,1:38,5:08,5/6,5,6,0.83,--,No,,2,4:23,Calc,0:17,1,0,0,0,4:40,0:42,600,0,1,0,0,0,5:50,4:51,3:03,3:45,1:42,2:37,4:15,0:42,5:50,Prempt,0:43,3,,6:33,Zero,6,,6,--,O,F Diag,F,Diag,86,Tall Cage,95,0:55,7:28,Housing,MANH,3,--,3:13,,,,1:55,5:08,22,70,19,0,14,22,672,0,0,1,48,108,3,3,183,1,42,102,0,55
🇩🇪,jason_n,0,1,7:29.374,7:29.374,06 Oct 2024,607,(V),-4936383011000236174,,Yes,https://www.speedrun.com/mc/runs/znxxp6vy,7,29,374,449374,0,0,449374,1.095075288,421494,1.066145663,,0.7382,0.8828630866,69.7643,94.5022,899.4004,1.16740,,BT,,Lava Pool,1:26,1:00,2:26,Stables,1:20,3:46,0:13,3:59,Fort,1:12,5:28,6/9,6,9,0.67,--,No,,2,5:06,Calc,0:17,1,0,0,0,5:23,0:23,349,1,0,0,0,0,5:51,5:11,3:45,4:08,1:26,2:18,3:30,0:31,5:59,Prempt,0:38,1,,6:37,Zero,5,,5,--,H,F Diag,F,Diag,88,M88,95,0:52,7:29,Stables,DBTRPL,6,--,2:26,,,,1:20,3:46,21,63,6,0,52,17,607,0.0000000001936721568,0.0000001830243987,1,26,86,3,45,225,1,26,86,0,52
🇫🇮,sadekeppi,0,1,7:29.931,7:29.931,02 Apr 2025,429,(V),6582471955859004032,,Yes,https://www.speedrun.com/mc/runs/z5l4r5gy,7,29,931,449931,0,0,449931,1.096432636,421494,1.067467153,,0.8069,0.8896809198,76.1408,94.3569,897.1836,1.17850,,BT,,2x1 Magma,1:23,0:31,1:54,Housing,1:46,3:40,0:19,3:59,Fort,0:51,4:50,6/7,6,7,0.86,0:10,Yes,,2,5:00,Calc,0:44,1,0,0,0,5:44,0:25,583,0,1,0,0,0,6:09,5:00,3:37,4:02,1:38,2:29,3:30,1:19,6:09,Prempt,0:29,1,,6:38,Zero,6,,6,--,O,F Diag,F,Diag,91,M91,99,0:51,7:29,Housing,MANH,5,--,1:54,,,,1:46,3:40,40,57,8,14,23,1,429,0.0003724681974,0.3514493315,1,23,83,3,37,217,1,38,98,0,51
🇺🇸,doogile,0,1,7:29.752,7:30.439,12 Dec 2023,906,(V),-8404662731985464270,18,Yes,https://www.speedrun.com/mc/runs/m3kq8ddy,7,30,439,450439,687,0.687,449752,1.097670576,446254,1.009378067,,0.6357,0.6337612606,63.1968,99.4102,895.1392,1.18871,,SH,,RP,1:46,0:35,2:21,Housing,1:28,3:49,0:31,4:20,Fort,0:31,4:51,5/7,5,7,0.71,0:12,Yes,,2,5:03,HP,0:27,1,0,0,0,5:30,0:35,1102,0,0,1,0,0,6:05,5:03,3:17,3:52,1:12,2:26,3:09,1:14,6:05,Prempt,0:10,2,,6:15,F.Zero,5,--,--,5,F-B56,F-F F-Diag,F-F,F-Diag,F-91,F-M91,--,1:14,7:29,Housing,MANH,3,--,2:21,,,,1:28,3:49,17,68,15,25,33,21,906,0,0,1,46,106,3,17,197,1,12,72,1,14
🇵🇱,watermelon1708,0,1,7:30.263,7:30.682,04 Dec 2025,183,(U),-8027616666562891938,,Yes,https://www.youtube.com/watch?v=zaVHr65a7Uk&list=PLZ59bMb0zBUSR6W9smbN1LDkQJlGfPEUk&index=4,7,30,682,450682,419,0.419,450263,1.098262741,410359,1.098262741,,0.9126,1.063637639,82.5972,90.5114,894.1536,1.19362,,BT,,2x1 Magma,1:12,0:57,2:09,Housing,1:34,3:43,0:10,3:53,Fort,1:34,5:40,5/9,5,9,0.56,--,No,,2,5:13,Calc,0:13,1,0,1,1,5:26,0:37,1450,0,0,1,0,0,6:17,5:27,4:15,4:52,1:12,2:03,3:37,0:37,6:17,Prempt,0:22,1,,6:39,Zero,5,,5,--,H,F Diag,F,Diag,85,M85,95,0:51,7:30,Housing,TOPD,5,DBTRPL,2:09,,,,1:34,3:43,24,57,65,42,19,32,183,0.541805228,490.3955172,1,12,72,4,15,255,1,12,72,0,51
🇺🇸,itsnahan,0,1,7:32.783,7:32.783,04 Jun 2025,366,(V),4115833317145621618,,Yes,https://www.speedrun.com/mc/runs/zqp1639m,7,32,783,452783,0,0,452783,1.103382648,421494,1.07423356,,0.8328,0.9253934447,77.9373,93.5883,885.4230,1.23693,,BT,,Lava Pool,1:31,0:10,1:41,Bridge,1:58,3:39,0:14,3:53,Fort,1:07,5:00,5/11,5,11,0.45,0:17,Yes,,2,5:17,Calc,0:36,1,0,0,0,5:53,0:29,unknown,0,0,0,0,0,6:22,5:17,3:46,4:15,1:23,2:15,3:39,1:22,6:22,Prempt,0:18,2,,6:40,Zero,6,,6,--,O,B Diag,B,Diag,85,M85,95,0:52,7:32,Bridge,SOOG,3,DT,1:41,,,,1:58,3:39,24,101,40,32,30,30,366,0.00742583903,6.949714807,1,31,91,3,46,226,1,23,83,0,52
🇳🇴,skycrab1,0,0,7:25.567,7:32.827,19 Aug 2024,655,(U),4927231128345776418,,Yes,https://www.youtube.com/watch?v=87ruBPBpgbg&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=57,7,32,827,452827,7260,7.26,445567,1.103489871,421494,1.07433795,,0.7207,0.925955072,67.4425,93.5761,885.2361,1.23785,,BT,,2x1 Magma,1:13,0:37,1:50,Bridge,1:59,3:49,0:14,4:03,Fort,0:45,4:48,6/11,6,11,0.55,0:10,Yes,,2,4:58,Calc,0:19,1,0,0,0,5:17,0:45,1485,0,0,1,0,0,6:02,4:58,3:45,4:30,1:28,2:27,3:22,1:14,6:02,Prempt,0:24,2,,6:26,Zero,6,,6,--,O,B Diag,B,Diag,76,Small Boi,90,0:59,7:25,Bridge,OLD,6,DT,1:50,,,,1:59,3:49,20,135,72,0,35,29,655,0,0.000000000584784642,1,13,73,3,45,225,1,28,88,0,59
🇸🇰,NoFear1337,0,0,7:29.999,7:32.999,21 Jan 2024,866,(U),1330456095954625394,,Yes,https://www.youtube.com/watch?v=u1WAriPLZMQ,7,32,999,452999,3000,3,449999,1.103909016,421494,1.074746022,,0.6486,0.9281536684,60.6588,93.5284,884.5040,1.24147,,BT,,2x1 Magma,1:23,0:13,1:36,Housing,1:00,2:36,0:15,2:51,Fort,1:52,5:10,6/12,6,12,0.50,--,No,,2,3:42,Calc,0:27,1,0,0,0,4:09,0:33,198,1,0,0,0,0,5:43,4:43,3:20,3:53,1:19,2:46,4:38,0:33,5:43,Prempt,0:19,1,,6:02,Perch,4,--,--,4,NZ-B58,--,--,,--,--,--,1:27,7:29,Housing,MANH,3,--,1:36,,,,1:00,2:36,20,56,0,0,17,8,866,0,0,1,23,83,3,20,200,1,19,79,1,27
🇨🇦,Jay12310,0,0,7:33.098,7:33.098,28 May 2026,8,(U),unknown,,,https://www.youtube.com/watch?v=9UT5HUhM2k0,7,33,98,453098,0,0,453098,1.104150268,410359,1.104150268,,0.9960,1.100385253,89.3131,89.6711,884.0815,1.24355,,BT,✔,2x1 Magma,1:10,0:22,1:32,Bridge,1:48,3:20,0:27,3:47,Fort,0:57,4:44,6/8,6,8,,0:11,Yes,,2,4:55,Calc,0:17,2,0,2,2,5:12,,,,,,,,,,,,,,3:47,4:44,,,,,,,,,,,,,,,,,,,,,Bridge,SOOG,3,--,1:32,0:15,1:47,1:33,1:48,3:20,22,105,18,9,37,24,8,0.9999488013,896.6649355,1,10,70,#VALUE!,,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,
🇿🇦,Airpodsz,0,1,7:32.691,7:33.014,17 May 2026,19,(Q),852302592884050638,,,https://www.youtube.com/watch?v=nIqa8Is866M,7,33,14,453014,323,0.323,452691,1.10394557,410359,1.10394557,,0.9905,1.099087742,88.8528,89.7009,884.4400,1.24178,,,,,,,,,,,,,,,,,,,,,No,,2,,Blind,,,,,,,,visible,1,0,0,0,0,,,,,,,,,,OEPR,,3,,,Zero,,,,,O,F Diag,F,Diag,94,T94,99,,7:32,,,,,,1:47,1:47,1:47,,,,,,,,,19,0.9993143352,896.3938531,#VALUE!,,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,
🇨🇦,Aquacorde,0,0,7:33.640,7:33.803,21 May 2026,15,(U),7581169436172902984,,,https://www.youtube.com/watch?v=knjUWkPMBQ4,7,33,803,453803,163,0.163,453640,1.105868276,410359,1.105868276,,0.9925,1.111332125,88.7511,89.4192,881.0480,1.25849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:47,1:47,1:47,,,,,,,,,15,0.9996625569,893.89073,#VALUE!,,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,
