flag,runner_name,is_wr,is_pb,in_game_time,re_timed_time,date,days_since,src_status,seed,instances(depracated),depracated,link,minutes,seconds,milliseconds,total_milliseconds,total_seconds,rounding,current_wr,normal_time,wr_at_time,normal_time,decay,weight,k,run_score,non_weighted_run_score,current_wr_run_score,dynamic_k,blank,iron_source,has_tnt,enter_type,enter_time,enter_structure1_split,structure_1_time,structure1_type,structure1_split,structure1_exit_time,structure1_structure2_split,structure2_time,structure2_type,structure_2_split,structure2_exit,blaze_rates_string,blaze_rods_dropped,blazes_killed,blaze_rates_decimal,structure2_exit_exit1_split,rods_obtained_pre_exit1,num_exits,exit1_time,stronghold_travel_type,triangulation_split,eyes_thrown,eye_breaks,eyes_left,total_eye_loss,reenter_time,exit_2_split,stronghold_distance,<400,400-1000,1000-1500,1500-2000,200+,exit_2_time,theoretical_blind,nether_split,total_nether,total_ow2,post_blind,structure2_finish_split,structure2_exit_stronghold_split,stronghold_time,portal_room_locator_type,stronghold_split,frames_filled,frames_needed,end_enter_time,end_type,explosives_used,rotations,zero_explosivies,perch_explosives,end_spawn_type,dragon_node,dragon_location,dragon_angle,tower_height,tower,standing_height,end_split,truncated_igt,bastion_type,bastion_route,chests_checked,depracated,bastion_enter_time,bastion_enter_route_start_split,route_start_time,route_split,total_bastion_split,bastion_exit_time,obsidian,string,glowstone,arrows,pearls,crying_obsidian,days_since,elo_weight,elo,timeloss
🇨🇦,NoHacsJustRoblox,0,1,7:21.808,7:22.283,29 Apr 2024,737,(V),8722833245086318634,,Yes,https://www.speedrun.com/mc/runs/z58ewkez,7,22,283,442283,442,0,410359,1.077795296,421494,1.049322173,-0.0005,0.6918,0.8349212482,664.5157,960.6004,931.6689,0.94474,,BT,,2x1 Magma,1:13,0:25,1:38,Bridge,1:40,3:18,0:24,3:42,Fort,0:59,4:41,6/9,6,9,0.67,0:02,Yes,2,4:39,Calc,0:14,1,0,1,1,4:53,0:41,1939,0,0,0,1,0,5:34,4:39,3:26,4:07,1:16,2:42,3:39,0:53,5:34,Prempt,0:21,1,,5:55,F.PC,4,--,--,4,B57,--,--,,--,--,--,1:26,7:21,Bridge,OLD,3,--,1:38,,,,1:40,3:18,24,49,35,0,,11,737,0,0,
🇳🇴,skycrab1,0,1,7:22.684,7:23.784,19 Apr 2024,747,(V),6338107534563615641,,Yes,https://www.speedrun.com/mc/runs/mew18n2m,7,23,784,443784,444,1,410359,1.081453069,421494,1.052883315,-0.0005,0.6883,0.8551130093,658.6480,956.8908,927.2185,0.96502,,BT,,1x1 Magma,1:49,0:05,1:54,Housing,1:51,3:45,0:26,4:11,Fort,0:30,4:41,6/7,6,7,0.86,0:09,Yes,2,4:50,Calc,0:25,1,0,0,0,5:15,0:55,1439,0,0,1,0,0,6:10,4:50,3:01,3:56,1:38,2:32,3:11,1:29,6:10,Prempt,0:18,2,,6:28,Zero,7,,7,--,O,F Diag,F,Diag,94,T94,99,0:54,7:22,Housing,MANJ,5,DT,1:54,,,,1:51,3:45,21,57,56,0,,38,747,0,0,
🇨🇦,Aquacorde,0,1,7:24.170,7:24.170,16 Oct 2025,202,(V),-1813865513517318496,,Yes,https://www.speedrun.com/mc/runs/ydo6pewz,7,24,170,444170,444,0,410359,1.082393709,410359,1.082393709,-0.0005,0.9039,1.042002552,832.3514,920.8109,926.0536,0.97030,,BT,,2x1 Magma,1:16,0:38,1:54,Housing,1:43,3:37,0:39,4:16,Fort,1:03,5:41,6/8,6,8,0.75,--,No,2,5:11,Calc,0:22,2,0,0,0,5:33,0:34,867,0,1,0,0,0,6:15,5:19,4:03,4:37,1:17,2:05,3:08,0:34,6:15,Prempt,0:21,1,,6:36,Zero,5,,5,--,H,F Diag,F,Diag,86,Tall Cage,99,0:48,7:24,Housing,TOPD,3,--,1:54,,,,1:43,3:37,27,75,18,46,,26,202,0.4385678268,403.8380543,
🇸🇰,NoFear1337,1,1,7:24.504,7:26.254,08 Dec 2023,880,(V),-8415980398606239765,12,Yes,https://www.speedrun.com/mc/run/m7308v9y,7,26,254,446254,446,0,410359,1.087472189,465828,0.9579801987,-0.0005,0.6440,0.4546682102,656.7302,1019.7098,919.6189,0.99928,,BT,,RP,1:39,0:33,2:12,Treasure,1:50,4:02,0:19,4:21,Fort,0:34,4:55,5/6,5,6,0.83,0:06,Yes,2,5:01,HP,0:36,2,0,0,0,5:37,0:36,1489,0,0,1,0,0,6:13,5:01,3:22,3:58,1:28,2:23,3:03,1:18,6:13,Prempt,0:16,4,,6:29,Zero,6,,6,--,O,F Diag,F,Diag,85,M85,95,0:55,7:24,Treasure,BOOMR,4,8/10,2:12,,,,1:50,4:02,10,121,55,25,44,26,880,0,0,
🇳🇴,skycrab1,0,0,7:27.923,7:27.923,20 Mar 2026,47,(U),-5301700605608362807,,,https://www.youtube.com/watch?v=gd8ToSBA6yY,7,27,923,447923,448,1,410359,1.091539359,410359,1.091539359,-0.0005,0.9768,1.107593153,886.4656,907.5443,914.2861,1.02309,,BT,🗙,2x1 Magma,1:35,0:50,2:25,Treasure,1:40,4:05,0:15,4:20,Fort,0:31,4:51,6/7,6,7,0.86,0:11,Yes,2,5:02,Calc,0:10,1,1,0,1,5:12,1:07,1745,0,0,0,1,0,6:19,5:02,3:27,4:34,1:39,2:25,3:07,1:28,6:19,Prempt,0:22,1,1,6:41,Zero,5,,5,--,O,B Diag,B,Diag,91,M91,99,0:46,7:27,Treasure,BOOMR,4,10/15,2:25,,,,1:40,4:05,18,112,11,25,39,31,47,0.98967141,898.1706204,
🇫🇮,AndrewCrow,0,1,7:28.358,7:28.874,17 Feb 2026,78,(Q),todo,,,https://www.youtube.com/watch?v=RNTNMHEVNBo,7,28,874,448874,449,1,410359,1.093856842,410359,1.093856842,-0.0005,0.9618,1.1248349,869.4376,904.0155,911.1751,1.03690,,BT,,2x1 Magma,1:25,0:36,2:01,Bridge,1:53,3:54,0:13,4:07,Fort,0:52,4:59,6/7,6,7,0.86,0:09,Yes,2,5:08,Calc,0:30,1,0,0,0,5:38,0:44,1131,0,0,1,0,0,6:22,5:08,3:43,4:27,1:26,2:20,3:21,1:23,6:22,PR,0:12,2,,6:34,Zero,7,,7,--,O,F Diag,F,Diag,91,M91,99,0:54,7:28,Bridge,CRKSMK,3,--,2:01,,,,1:53,3:54,29,94,36,26,32,27,78,0.9536531958,862.1172841,
🇨🇦,Jay12310,0,1,7:28.256,7:29.121,02 Aug 2024,642,(V),-6421260664080147265,,Yes,https://www.speedrun.com/mc/runs/y8prdrxz,7,29,121,449121,449,0,410359,1.094458754,421494,1.065545417,-0.0005,0.7254,0.9308942016,683.7934,942.6130,910.3585,1.04052,,BT,,2x1 Magma,1:48,0:28,2:16,Fort,0:37,2:53,0:20,3:13,Housing,1:38,5:08,5/6,5,6,0.83,--,No,2,4:23,Calc,0:17,1,0,0,0,4:40,0:42,600,0,1,0,0,0,5:50,4:51,3:03,3:45,1:42,2:37,4:15,0:42,5:50,Prempt,0:43,3,,6:33,Zero,6,,6,--,O,F Diag,F,Diag,86,Tall Cage,95,0:55,7:28,Housing,MANH,3,--,3:13,,,,1:55,5:08,22,70,19,0,14,22,642,0,0.000000003037372477,
🇩🇪,jason_n,0,1,7:29.374,7:29.374,06 Oct 2024,577,(V),-4936383011000236174,,Yes,https://www.speedrun.com/mc/runs/znxxp6vy,7,29,374,449374,449,0,410359,1.095075288,421494,1.066145663,-0.0005,0.7494,0.9346460844,705.8419,941.8926,909.5182,1.04423,,BT,,Lava Pool,1:26,1:00,2:26,Stables,1:20,3:46,0:13,3:59,Fort,1:12,5:28,6/9,6,9,0.67,--,No,2,5:06,Calc,0:17,1,0,0,0,5:23,0:23,349,1,0,0,0,0,5:51,5:11,3:45,4:08,1:26,2:18,3:30,0:31,5:59,Prempt,0:38,1,,6:37,Zero,5,,5,--,H,F Diag,F,Diag,88,M88,95,0:52,7:29,Stables,DBTRPL,6,--,2:26,,,,1:20,3:46,21,63,6,0,52,17,577,0.000000004541523539,0.000004277627323,
🇫🇮,sadekeppi,0,1,7:29.931,7:29.931,02 Apr 2025,399,(V),6582471955859004032,,Yes,https://www.speedrun.com/mc/runs/z5l4r5gy,7,29,931,449931,450,1,410359,1.096432636,421494,1.067467153,-0.0005,0.8191,0.9429584429,770.2312,940.2923,907.6551,1.05245,,BT,,2x1 Magma,1:23,0:31,1:54,Housing,1:46,3:40,0:19,3:59,Fort,0:51,4:50,6/7,6,7,0.86,0:10,Yes,2,5:00,Calc,0:44,1,0,0,0,5:44,0:25,583,0,1,0,0,0,6:09,5:00,3:37,4:02,1:38,2:29,3:30,1:19,6:09,Prempt,0:29,1,,6:38,Zero,6,,6,--,O,F Diag,F,Diag,91,M91,99,0:51,7:29,Housing,MANH,5,--,1:54,,,,1:46,3:40,40,57,8,14,23,1,399,0.001743048129,1.638974682,
🇺🇸,doogile,0,1,7:29.752,7:30.439,12 Dec 2023,876,(V),-8404662731985464270,18,Yes,https://www.speedrun.com/mc/runs/m3kq8ddy,7,30,439,450439,450,0,410359,1.097670576,446254,1.009378067,-0.0005,0.6453,0.6387669095,641.4895,994.0553,905.9399,1.06001,,SH,,RP,1:46,0:35,2:21,Housing,1:28,3:49,0:31,4:20,Fort,0:31,4:51,5/7,5,7,0.71,0:12,Yes,2,5:03,HP,0:27,1,0,0,0,5:30,0:35,1102,0,0,1,0,0,6:05,5:03,3:17,3:52,1:12,2:26,3:09,1:14,6:05,Prempt,0:10,2,,6:15,F.Zero,5,--,--,5,B56,F Diag,F,Diag,91,M91,--,1:14,7:29,Housing,MANH,3,--,2:21,,,,1:28,3:49,17,68,15,25,33,21,876,0,0,
