flag,runner_name,is_wr,is_pb,in_game_time,re_timed_time,date,days_since,src_status,seed,instances(depracated),calc(depracated),link,minutes,seconds,milliseconds,total_milliseconds,retime_ms,retime,current_wr,cur_wr_normal_time,wr_at_time,normal_time,decay,weight,k,run_score,non_weighted_run_score,current_wr_run_score,dynamic_k,blank,iron_source,has_tnt,enter_type,enter_time,enter_structure1_split,structure_1_time,structure1_type,structure1_split,structure1_exit_time,structure1_structure2_split,structure2_time,structure2_type,structure_2_split,structure2_exit,blaze_rates_string,blaze_rods_collected,blazes_killed,blaze_rates_decimal,structure2_exit_exit1_split,rods_obtained_pre_exit1,num_exits,exit1_time,stronghold_travel_type,triangulation_split,eyes_thrown,eye_breaks,eyes_left,total_eye_loss,reenter_time,exit_2_split,stronghold_distance,<500,500-1000,1000-1500,1500-2000,2000+,exit_2_time,theoretical_blind,nether_split,total_nether,total_ow2,post_blind,structure2_finish_split,structure2_exit_stronghold_split,stronghold_time,portal_room_locator_type,stronghold_split,frames_filled,frames_needed,end_enter_time,end_type,explosives_used,rotations,zero_explosivies,perch_explosives,end_spawn_type,dragon_node,dragon_location,dragon_angle,tower_height,tower,standing_height,end_split,truncated_igt,bastion_type_2,bastion_route,chests_checked,depracated_bastion_info,bastion_enter_time,bastion_enter_route_start_split,route_start_time,route_split,total_bastion_split,bastion_exit_time,obsidian,string,glowstone,arrows,pearls,crying_obsidian,days_since_2,elo_weight,elo,timeloss
🇺🇸,lowkey,1,1,6:48.508,6:50.359,11 Jun 2025,391,(V),-8717682453392808086,,Yes,https://www.speedrun.com/mc/runs/m7l7960y,6,50,359,410359,1851,1.851,408508,1,421494,0.9735820676,,0.8224,0.5145509995,83.3832,101.3871,1000.0000,0.60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Jay12310,0,1,6:56.051,6:56.731,04 Feb 2026,153,(V),6044301913007956989,,,https://www.speedrun.com/mc/runs/mep526qy,6,56,731,416731,680,0.68,416051,1.015527867,410359,1.015527867,,0.9264,0.6569457855,91.7023,98.9928,989.7499,0.66865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇮🇹,drip120,1,1,7:00.799,7:01.494,03 Jan 2024,916,(V),8802654848425114236,15,Yes,https://www.speedrun.com/mc/run/y8ko8qny,7,1,494,421494,695,0.695,420799,1.027134777,446254,0.9445159035,,0.6325,0.4353010615,64.8462,102.5159,980.7699,0.72526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇰🇷,pavkin,0,1,7:05.066,7:05.066,02 Jun 2026,35,(Q),-8631010155278757961,,,https://www.youtube.com/watch?v=D33RRwcqqY4,7,5,66,425066,0,0,425066,1.03583935,410359,1.03583935,,0.9827,0.7397596449,95.7386,97.4288,973.2199,0.77091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Aquacorde,0,1,7:08.699,7:08.699,10 Mar 2026,119,(V),2129033182999502069,,,https://www.speedrun.com/mc/runs/y4vwx5ny,7,8,699,428699,0,0,428699,1.044692574,410359,1.044692574,,0.9422,0.7790309314,91.0682,96.6512,964.7691,0.82032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Jay12310,0,0,7:09.845,7:09.845,29 May 2026,39,(U),video,,,https://www.youtube.com/watch?v=hP4_bUJulk4,7,9,845,429845,0,0,429845,1.047485251,410359,1.047485251,,0.9807,0.7918396051,94.5317,96.3931,961.9337,0.83655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇦,loodlow,0,1,7:10.076,7:11.350,21 Oct 2025,259,(V),-1058044179150873683,,Yes,https://www.speedrun.com/mc/runs/ydo05ojz,7,11,350,431350,1274,1.274,430076,1.051152771,410359,1.051152771,,0.8785,0.8089749346,84.3785,96.0446,958.0821,0.85837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Aquacorde,0,1,7:09.181,7:11.993,16 Feb 2026,141,(V),-6645733506759892987,,,https://www.speedrun.com/mc/runs/zpvnl4gz,7,11,993,431993,2812,2.812,429181,1.052719692,410359,1.052719692,,0.9319,0.8164060284,89.3647,95.8923,956.3914,0.86786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇩🇰,Bloopy,0,1,7:13.157,7:13.157,16 Oct 2025,264,(V),-5449384532227041969,,Yes,https://www.speedrun.com/mc/runs/yv535lom,7,13,157,433157,0,0,433157,1.055556232,410359,1.055556232,,0.8763,0.8300281801,83.7882,95.6114,953.2609,0.88531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Aquacorde,0,0,7:13.017,7:13.178,04 Jun 2026,33,(U),todo,,,https://www.youtube.com/watch?v=th2B5695usM,7,13,178,433178,161,0.161,433017,1.055607407,410359,1.055607407,,0.9836,0.830275965,94.0417,95.6063,953.2036,0.88562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇵🇱,watermelon1708,0,1,7:16.326,7:16.326,07 Dec 2025,212,(V),-3009416634026052013,,Yes,https://www.speedrun.com/mc/runs/y9wx8x2z,7,16,326,436326,0,0,436326,1.063278739,410359,1.063278739,,0.8994,0.8682453027,85.2763,94.8121,944.2692,0.93459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,1,7:16.474,7:16.560,02 Jan 2026,186,(V),-8753882162041693203,,Yes,https://www.speedrun.com/mc/runs/m320j36y,7,16,560,436560,86,0.086,436474,1.063848971,410359,1.063848971,,0.9112,0.8711339965,86.3365,94.7510,943.5775,0.93834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,wethr,0,1,7:17.054,7:17.054,13 May 2026,55,(Q),-5868183305155852020,,,https://www.speedrun.com/mc/runs/z02q5n9m,7,17,54,437054,0,0,437054,1.065052795,410359,1.065052795,,0.9729,0.8772629382,92.0545,94.6212,942.1043,0.94629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇱,Pjoes,0,1,7:17.039,7:17.356,27 Jun 2026,10,(V),-6627384740265529762,,,https://www.speedrun.com/mc/runs/mrpjve7z,7,17,356,437356,317,0.317,437039,1.065788736,410359,1.065788736,,0.9950,0.8810303078,94.0696,94.5412,941.1951,0.95118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇵🇱,okshey,0,1,7:21.820,7:21.820,22 Mar 2026,107,(Q),todo,,,https://www.speedrun.com/mc/runs/z5nrjxez,7,21,820,441820,0,0,441820,1.076667016,410359,1.076667016,,0.9479,0.9385710475,88.4412,93.3016,926.9752,1.02651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,NoHacsJustRoblox,0,1,7:21.808,7:22.283,29 Apr 2024,799,(V),8722833245086318634,,Yes,https://www.speedrun.com/mc/runs/z58ewkez,7,22,283,442283,475,0.475,441808,1.077795296,421494,1.049322173,,0.6707,0.8003771264,64.5304,96.2199,925.4147,1.03465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,1,7:22.684,7:23.784,19 Apr 2024,809,(V),6338107534563615641,,Yes,https://www.speedrun.com/mc/runs/mew18n2m,7,23,784,443784,1100,1.1,442684,1.081453069,421494,1.052883315,,0.6673,0.8171858444,63.9792,95.8763,920.2419,1.06147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Aquacorde,0,1,7:24.170,7:24.170,16 Oct 2025,264,(V),-1813865513517318496,,Yes,https://www.speedrun.com/mc/runs/ydo6pewz,7,24,170,444170,0,0,444170,1.082393709,410359,1.082393709,,0.8763,0.9702956646,81.1539,92.6054,918.8832,1.06847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇸🇰,NoFear1337,1,1,7:24.504,7:26.254,08 Dec 2023,942,(V),-8415980398606239765,12,Yes,https://www.speedrun.com/mc/run/m7308v9y,7,26,254,446254,1750,1.75,444504,1.087472189,465828,0.9579801987,,0.6244,0.4702249908,63.7109,102.0391,911.3441,1.10707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,7:27.923,7:27.923,20 Mar 2026,109,(U),-5301700605608362807,,,https://www.youtube.com/watch?v=gd8ToSBA6yY,7,27,923,447923,0,0,447923,1.091539359,410359,1.091539359,,0.9470,1.023093743,86.5791,91.4286,905.0543,1.13896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇫🇮,AndrewCrow,0,1,7:28.358,7:28.874,17 Feb 2026,140,(Q),-346656346610546380,,,https://www.speedrun.com/mc/runs/m389g06y,7,28,874,448874,516,0.516,448358,1.093856842,410359,1.093856842,,0.9324,1.036900388,84.9574,91.1175,901.3684,1.15752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Jay12310,0,1,7:28.256,7:29.121,02 Aug 2024,704,(V),-6421260664080147265,,Yes,https://www.speedrun.com/mc/runs/y8prdrxz,7,29,121,449121,865,0.865,448256,1.094458754,421494,1.065545417,,0.7033,0.8797829997,66.5076,94.5677,900.3988,1.16239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇩🇪,jason_n,0,1,7:29.374,7:29.374,06 Oct 2024,639,(V),-4936383011000236174,,Yes,https://www.speedrun.com/mc/runs/znxxp6vy,7,29,374,449374,0,0,449374,1.095075288,421494,1.066145663,,0.7265,0.8828630866,68.6570,94.5022,899.4004,1.16740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇫🇮,sadekeppi,0,1,7:29.931,7:29.931,02 Apr 2025,461,(V),6582471955859004032,,Yes,https://www.speedrun.com/mc/runs/z5l4r5gy,7,29,931,449931,0,0,449931,1.096432636,421494,1.067467153,,0.7941,0.8896809198,74.9322,94.3569,897.1836,1.17850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,doogile,0,1,7:29.752,7:30.439,12 Dec 2023,938,(V),-8404662731985464270,18,Yes,https://www.speedrun.com/mc/runs/m3kq8ddy,7,30,439,450439,687,0.687,449752,1.097670576,446254,1.009378067,,0.6256,0.6337612606,62.1937,99.4102,895.1392,1.18871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇵🇱,watermelon1708,0,1,7:30.263,7:30.682,04 Dec 2025,215,(U),-8027616666562891938,,Yes,https://www.youtube.com/watch?v=zaVHr65a7Uk&list=PLZ59bMb0zBUSR6W9smbN1LDkQJlGfPEUk&index=4,7,30,682,450682,419,0.419,450263,1.098262741,410359,1.098262741,,0.8981,1.063637639,81.2862,90.5114,894.1536,1.19362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,itsnahan,0,1,7:32.783,7:32.783,04 Jun 2025,398,(V),4115833317145621618,,Yes,https://www.speedrun.com/mc/runs/zqp1639m,7,32,783,452783,0,0,452783,1.103382648,421494,1.07423356,,0.8195,0.9253934447,76.7003,93.5883,885.4230,1.23693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,7:25.567,7:32.827,19 Aug 2024,687,(U),4927231128345776418,,Yes,https://www.youtube.com/watch?v=87ruBPBpgbg&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=57,7,32,827,452827,7260,7.26,445567,1.103489871,421494,1.07433795,,0.7093,0.925955072,66.3720,93.5761,885.2361,1.23785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇸🇰,NoFear1337,0,0,7:29.999,7:32.999,21 Jan 2024,898,(U),1330456095954625394,,Yes,https://www.youtube.com/watch?v=u1WAriPLZMQ,7,32,999,452999,3000,3,449999,1.103909016,421494,1.074746022,,0.6383,0.9281536684,59.6960,93.5284,884.5040,1.24147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Jay12310,0,0,7:33.098,7:33.098,28 May 2026,40,(U),unknown,,,https://www.youtube.com/watch?v=9UT5HUhM2k0,7,33,98,453098,0,0,453098,1.104150268,410359,1.104150268,,0.9802,1.100385253,87.8955,89.6711,884.0815,1.24355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇿🇦,Airpodsz,0,1,7:32.691,7:33.014,17 May 2026,51,(Q),852302592884050638,,,https://www.youtube.com/watch?v=nIqa8Is866M,7,33,14,453014,323,0.323,452691,1.10394557,410359,1.10394557,,0.9748,1.099087742,87.4424,89.7009,884.4400,1.24178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Aquacorde,0,0,7:33.640,7:33.803,21 May 2026,47,(U),7581169436172902984,,,https://www.youtube.com/watch?v=knjUWkPMBQ4,7,33,803,453803,163,0.163,453640,1.105868276,410359,1.105868276,,0.9768,1.111332125,87.3424,89.4192,881.0480,1.25849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇵🇱,kazzruns,0,1,7:33.804,7:33.804,24 Jul 2025,348,(V),-5890829594904468442,,Yes,https://www.speedrun.com/mc/runs/yjqo30nm,7,33,804,453804,0,0,453804,1.105870713,410359,1.105870713,,0.8403,1.111347725,75.1384,89.4189,881.0437,1.25851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Aquacorde,0,0,7:34.421,7:34.056,03 Mar 2026,126,(U),6573117783169949946,,,https://www.youtube.com/watch?v=l__1dhyvdjw,7,34,56,454056,-365,-0.365,454421,1.10648481,410359,1.10648481,,0.9389,1.115285531,83.8741,89.3281,879.9489,1.26390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,Feinberg,0,1,7:34.367,7:34.367,28 Apr 2026,70,(Q),2511758293074259151,,,https://www.youtube.com/watch?v=iOWwIieY6C4,7,34,367,454367,0,0,454367,1.107242683,410359,1.107242683,,0.9656,1.120163395,86.1471,89.2156,878.5903,1.27057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,itsnahan,0,0,7:34.447,7:34.546,19 Dec 2025,200,(U),-7173684177694873982,,Yes,https://www.youtube.com/watch?v=1_O9cZzkKpk,7,34,546,454546,99,0.099,454447,1.107678886,410359,1.107678886,,0.9048,1.122980009,80.6668,89.1506,877.8044,1.27443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇦🇿,KenanKardes,0,1,7:35.447,7:34.838,13 Sep 2024,662,(V),5361864572335160821,,Yes,https://www.speedrun.com/mc/runs/zx0e765z,7,34,838,454838,-609,-0.609,455447,1.108390458,421494,1.079109074,,0.7182,0.9519761064,66.7992,93.0085,876.5165,1.28074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇵🇱,watermelon1708,0,0,7:35.875,7:35.875,21 Feb 2026,136,(U),unknown,,,https://www.youtube.com/watch?v=3E-mIUUQVAU,7,35,875,455875,0,0,455875,1.110917514,410359,1.110917514,,0.9343,1.14410145,82.8330,88.6616,871.8824,1.30341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇩🇪,jason_n,0,0,7:36.562,7:36.562,27 Dec 2025,192,(U),5101166286806026119,,Yes,https://www.youtube.com/watch?v=PIIJU2GwFP4&list=PLZ59bMb0zBUSR6W9smbN1LDkQJlGfPEUk&index=1,7,36,562,456562,0,0,456562,1.112591658,410359,1.112591658,,0.9085,1.155165538,80.3123,88.4045,868.7603,1.31864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇩🇪,jason_n,0,0,7:38.273,7:38.273,12 Nov 2025,237,(U),2886416364403862215,,Yes,https://www.youtube.com/watch?v=bA3Sck4VKWw,7,38,273,458273,0,0,458273,1.116761177,410359,1.116761177,,0.8883,1.183158868,77.9456,87.7517,860.8025,1.35730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇩🇰,Bloopy,0,1,7:35.809,7:38.482,28 Nov 2024,586,(V),-7640184333545180122,,Yes,https://www.speedrun.com/mc/runs/zxj96rqy,7,38,482,458482,2673,2.673,455809,1.117270488,421494,1.087754511,,0.7460,1.000920059,68.5784,91.9254,859.8126,1.36209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇮🇱,orachi,0,1,7:36.656,7:38.738,17 Apr 2026,81,(Q),1736164389740735086,,,https://youtu.be/OYGFbW4afPw?si=is-E-XG_ij3QA938,7,38,738,458738,2082,2.082,456656,1.117894332,410359,1.117894332,,0.9603,1.190875737,84.0953,87.5711,858.5947,1.36799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,7:39.667,7:39.667,08 Mar 2026,121,(U),488777781406333665,,,https://www.youtube.com/watch?v=bCf8wapBEIU,7,39,667,459667,0,0,459667,1.120158203,410359,1.120158203,,0.9413,1.206434093,82.0867,87.2063,854.1256,1.38959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,Infume,0,1,7:39.778,7:39.778,06 Jun 2025,396,(?),-8467677866844055286,,,https://www.youtube.com/watch?v=UnKMvsVNbYU,7,39,778,459778,0,0,459778,1.120428698,421494,1.090829288,,0.8204,1.018898483,75.0826,91.5229,853.5864,1.39220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,doogile,0,0,7:38.813,7:40.190,19 Oct 2025,261,(U),-6371149676202072948,,Yes,https://www.youtube.com/watch?v=HUv4d3f0b0Y,7,40,190,460190,1377,1.377,458813,1.121432697,410359,1.121432697,,0.8777,1.21527638,76.3548,86.9985,851.5754,1.40190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇬🇧,BeefSalad,0,1,7:40.572,7:40.572,27 Jan 2026,161,(V),-7982637122350751836,,,https://www.speedrun.com/mc/runs/ydop9ejz,7,40,572,460572,0,0,460572,1.122363589,410359,1.122363589,,0.9227,1.221773014,80.1286,86.8457,849.6972,1.41095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,7:39.953,7:41.343,19 Dec 2025,200,(U),9053135870907266934,,Yes,https://www.youtube.com/watch?v=9YRVwmSP0e4&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=162,7,41,343,461343,1390,1.39,459953,1.124242432,410359,1.124242432,,0.9048,1.234984191,78.2996,86.5344,845.8659,1.42939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇹🇿,Kxpow,0,1,7:41.490,7:41.490,05 Oct 2025,275,(V),3413784149860051440,,Yes,https://www.speedrun.com/mc/runs/y2rqdr6m,7,41,490,461490,0,0,461490,1.124600655,410359,1.124600655,,0.8715,1.237518132,75.3656,86.4746,845.1293,1.43293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇩🇪,jason_n,0,0,7:42.171,7:42.171,12 May 2026,56,(U),-7549226815345637508,,,https://www.youtube.com/watch?v=XFafyirP82A,7,42,171,462171,0,0,462171,1.126260177,410359,1.126260177,,0.9724,1.249320367,83.8159,86.1959,841.6912,1.44944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇿🇦,Airpodsz,0,1,7:43.320,7:43.320,20 Mar 2026,109,(Q),253105556005796161,,,https://www.speedrun.com/mc/runs/zn6o493y,7,43,320,463320,0,0,463320,1.129060164,410359,1.129060164,,0.9470,1.269471381,81.1724,85.7190,835.7944,1.47771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇬🇧,priffie,0,1,7:43.529,7:43.909,24 Oct 2024,621,(V),-3978494106932821584,,Yes,https://www.speedrun.com/mc/runs/y6e87kpz,7,43,909,463909,380,0.38,463529,1.130495493,421494,1.100630139,,0.7331,1.078272428,66.1075,90.1777,832.7247,1.49240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇩🇰,Bloopy,0,0,7:44.248,7:44.248,07 Mar 2026,122,(U),-7077016121021295276,,,https://www.youtube.com/watch?v=1gyyI3VzVgg,7,44,248,464248,0,0,464248,1.131321599,410359,1.131321599,,0.9408,1.285966864,80.2783,85.3277,830.9435,1.50092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,zylenox,0,1,7:44.775,7:45.223,12 Mar 2026,117,(Q),todo,,,https://www.youtube.com/watch?v=hi8zV9Wnris,7,45,223,465223,448,0.448,464775,1.133697567,410359,1.133697567,,0.9432,1.303512228,80.0859,84.9107,825.7617,1.52568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇸🇪,PAPLERR,0,1,7:45.368,7:45.368,15 May 2025,418,(V),2933743551005337304,,Yes,https://www.speedrun.com/mc/runs/zngk8olm,7,45,368,465368,0,0,465368,1.134050916,421494,1.104091636,,0.8114,1.100013455,72.7656,89.6796,824.9836,1.52939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇫🇷,M4xx,0,1,7:45.390,7:45.390,04 Mar 2026,125,(Q),805412740251903790,,,https://www.youtube.com/watch?v=dBMHGH7DJCc,7,45,390,465390,0,0,465390,1.134104528,410359,1.134104528,,0.9394,1.306539641,79.6985,84.8386,824.8654,1.52996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇹🇷,Ancoboy,0,1,7:40.016,7:45.590,11 Dec 2025,208,(V),-5628543556500972011,,,https://www.speedrun.com/mc/runs/yv580x4m,7,45,590,465590,5574,5.574,460016,1.134591906,410359,1.134591906,,0.9012,1.310173872,76.3807,84.7521,823.7886,1.53510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,zylenox,1,1,7:42.999,7:45.828,07 Feb 2023,1246,(V),7499203634667178692,15,Yes,https://www.speedrun.com/mc/run/zg2q0lny,7,45,828,465828,2829,2.829,462999,1.135171886,495537,0.9400468583,,0.5363,0.4243519554,55.0590,102.6583,822.5023,1.54123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
